SOA Code,SOA Name
95AA01S1,Aldergrove 1
95AA01S2,Aldergrove 2
95AA01S3,Aldergrove 3
95AA02W1,Balloo
95AA03W1,Ballycraigy
95AA04W1,Clady
95AA05W1,Cranfield
95AA06S1,Crumlin 1 (Antrim LGD)
95AA06S2,Crumlin 2 (Antrim LGD)
95AA07W1,Drumanaway
95AA08W1,Farranshane
95AA09W1,Fountain Hill
95AA10W1,Greystone (Antrim LGD)
95AA11S1,Massereene 1
95AA11S2,Massereene 2
95AA12W1,Parkgate
95AA13S1,Randalstown 1
95AA13S2,Randalstown 2
95AA14W1,Shilvodan
95AA15S1,Springfarm 1
95AA15S2,Springfarm 2
95AA16W1,Steeple
95AA17W1,Stiles
95AA18W1,Templepatrick
95AA19W1,Toome
95BB01S1,Ballygowan 1
95BB01S2,Ballygowan 2
95BB02W1,Ballyrainey
95BB03S1,Ballywalter 1
95BB03S2,Ballywalter 2
95BB04S1,Bradshaw's Brae 1
95BB04S2,Bradshaw's Brae 2
95BB05S1,Carrowdore 1
95BB05S2,Carrowdore 2
95BB06W1,Central (Ards LGD)
95BB07S1,Comber East 1
95BB07S2,Comber East 2
95BB08S1,Comber North 1
95BB08S2,Comber North 2
95BB09S1,Comber West 1
95BB09S2,Comber West 2
95BB10S1,Donaghadee North 1
95BB10S2,Donaghadee North 2
95BB11S1,Donaghadee South 1
95BB11S2,Donaghadee South 2
95BB12S1,Glen 1
95BB12S2,Glen 2
95BB13S1,Gregstown 1
95BB13S2,Gregstown 2
95BB13S3,Gregstown 3
95BB14S1,Killinchy 1
95BB14S2,Killinchy 2
95BB15S1,Kircubbin 1
95BB15S2,Kircubbin 2
95BB16S1,Lisbane 1
95BB16S2,Lisbane 2
95BB17S1,Loughries 1
95BB17S2,Loughries 2
95BB18S1,Millisle 1
95BB18S2,Millisle 2
95BB19S1,Movilla 1
95BB19S2,Movilla 2
95BB19S3,Movilla 3
95BB20S1,Portaferry 1
95BB20S2,Portaferry 2
95BB21S1,Portavogie 1
95BB21S2,Portavogie 2
95BB22S1,Scrabo 1
95BB22S2,Scrabo 2
95BB23S1,Whitespots 1
95BB23S2,Whitespots 2
95CC01W1,Abbey Park
95CC02W1,Ballymartrim
95CC03W1,Callan Bridge
95CC04W1,Carrigatuke
95CC05W1,Charlemont
95CC06S1,Demesne 1
95CC06S2,Demesne 2
95CC07W1,Derrynoose
95CC08W1,Downs
95CC09S1,Hamiltonsbawn 1
95CC09S2,Hamiltonsbawn 2
95CC10W1,Hockley
95CC11W1,Keady
95CC12W1,Killeen
95CC13W1,Killylea
95CC14W1,Laurelvale
95CC15W1,Loughgall
95CC16W1,Markethill
95CC17W1,Milford
95CC18W1,Observatory
95CC19W1,Poyntz Pass
95CC20S1,Rich Hill 1
95CC20S2,Rich Hill 2
95CC21W1,Tandragee
95CC22W1,The Mall
95DD01W1,Academy
95DD02S1,Ahoghill 1
95DD02S2,Ahoghill 2
95DD03W1,Ardeevin
95DD04W1,Ballee
95DD05W1,Ballykeel
95DD06W1,Ballyloughan
95DD07S1,Broughshane 1
95DD07S2,Broughshane 2
95DD08W1,Castle Demesne
95DD09W1,Craigywarren
95DD10W1,Cullybackey
95DD11W1,Dunclug
95DD12W1,Dunminning
95DD13W1,Fair Green
